snapshot_date,ndc,drug_name,on_hand_units,dispensed_past_week,reorder_qty,expired_units,stockout_flag,expiry_date,inventory_value_usd
2024-01-01,57237-0001-01,Metformin 500mg,15390,7290,0,0,False,2024-12-31,44784.9
2024-01-01,57237-0002-01,Metformin 1000mg,40950,4410,0,0,False,2024-12-31,137592.0
2024-01-01,57237-0011-01,Lisinopril 10mg,50250,6450,0,0,False,2025-12-31,53767.5
2024-01-01,57237-0012-01,Lisinopril 20mg,8730,3870,0,0,False,2025-12-31,4626.9
2024-01-01,57237-0021-01,Atorvastatin 20mg,12390,5250,0,0,False,2024-12-31,49807.8
2024-01-01,57237-0022-01,Atorvastatin 40mg,8700,5160,0,0,False,2024-12-31,23403.0
2024-01-01,57237-0031-01,Amlodipine 5mg,43590,5550,0,0,False,2024-12-31,9153.9
2024-01-01,57237-0032-01,Amlodipine 10mg,27150,3090,0,0,False,2025-12-31,30136.5
2024-01-01,57237-0041-01,Omeprazole 20mg,53490,6990,0,0,False,2024-12-31,10698.0
2024-01-01,57237-0042-01,Omeprazole 40mg,6690,4650,0,0,False,2025-12-31,21675.6
2024-01-01,57237-0051-01,Losartan 50mg,9660,4200,0,0,False,2024-12-31,24053.4
2024-01-01,57237-0052-01,Losartan 100mg,6210,2610,0,0,False,2025-07-02,12854.7
2024-01-01,57237-0061-01,Gabapentin 300mg,31680,6120,0,0,False,2024-12-31,115948.8
2024-01-01,57237-0062-01,Gabapentin 600mg,21150,5310,0,0,False,2024-12-31,72544.5
2024-01-01,57237-0071-01,Levothyroxine 50mcg,9000,6120,0,0,False,2025-07-02,28530.0
2024-01-01,57237-0072-01,Levothyroxine 100mcg,6930,4410,0,0,False,2024-12-31,9078.3
2024-01-01,57237-0081-01,Metoprolol 25mg,9210,4650,0,0,False,2025-07-02,39695.1
2024-01-01,57237-0082-01,Metoprolol 50mg,7800,3540,0,0,False,2025-07-02,4134.0
2024-01-01,57237-0091-01,Sertraline 50mg,32850,4950,0,0,False,2025-07-02,16753.5
2024-01-01,57237-0092-01,Sertraline 100mg,23400,3060,0,0,False,2024-12-31,64350.0
2024-01-01,57237-0101-01,Escitalopram 10mg,30690,3330,0,0,False,2025-12-31,101583.9
2024-01-01,57237-0111-01,Bupropion SR 150mg,7110,2970,0,0,False,2025-07-02,4479.3
2024-01-01,57237-0121-01,Hydrochlorothiazide 25mg,8490,4110,0,0,False,2025-07-02,3650.7
2024-01-01,57237-0131-01,Furosemide 40mg,26520,3720,0,0,False,2025-12-31,99450.0
2024-01-01,57237-0141-01,Carvedilol 6.25mg,22470,3990,0,0,False,2025-07-02,89655.3
2024-01-01,57237-0151-01,Pantoprazole 40mg,8040,4560,0,0,False,2025-12-31,21145.2
2024-01-01,57237-0161-01,Montelukast 10mg,9330,2010,0,0,False,2025-12-31,3638.7
2024-01-01,57237-0171-01,Glipizide 5mg,23520,2940,0,0,False,2025-07-02,25636.8
2024-01-01,57237-0181-01,Tamsulosin 0.4mg,19320,3360,0,0,False,2024-12-31,85587.6
2024-01-01,57237-0191-01,Alendronate 70mg,1740,276,0,0,False,2025-07-02,6803.4
2024-01-01,57237-0201-01,Amoxicillin 500mg,2379,1149,0,0,False,2025-12-31,3116.49
2024-01-01,57237-0202-01,Amoxicillin 875mg,1062,618,0,0,False,2024-12-31,4003.74
2024-01-01,57237-0211-01,Azithromycin 250mg,480,276,0,0,False,2024-12-31,825.6
2024-01-01,57237-0221-01,Albuterol Inhaler,220,116,0,0,False,2025-12-31,668.8
2024-01-01,57237-0231-01,Oseltamivir 75mg,610,230,0,0,False,2025-12-31,2574.2
2024-01-01,57237-0241-01,Cetirizine 10mg,8370,2970,0,0,False,2025-12-31,3348.0
2024-01-01,57237-0242-01,Loratadine 10mg,27900,2340,0,0,False,2025-12-31,23436.0
2024-01-01,57237-0243-01,Fexofenadine 180mg,20490,2190,0,0,False,2025-07-02,23768.4
2024-01-01,57237-0251-01,Fluticasone Nasal 50mcg,194,16,0,0,False,2025-12-31,341.44
2024-01-01,57237-0261-01,Prednisone 20mg,839,337,0,0,False,2024-12-31,2617.68
2024-01-01,57237-0271-01,Doxycycline 100mg,1295,469,0,0,False,2024-12-31,4027.45
2024-01-01,57237-0281-01,Cephalexin 500mg,920,760,0,0,False,2024-12-31,1002.8
2024-01-01,57237-0291-01,Trimethoprim/Sulfa DS,1546,218,0,0,False,2025-07-02,5627.44
2024-01-01,57237-0301-01,Promethazine 25mg,2048,472,0,0,False,2024-12-31,2580.48
2024-01-01,57237-0311-01,Ondansetron 4mg,1170,342,0,0,False,2025-12-31,4820.4
2024-01-01,57237-0401-01,Ibuprofen 600mg,18060,2100,0,0,False,2025-07-02,71337.0
2024-01-01,57237-0402-01,Ibuprofen 800mg,4950,2610,0,0,False,2025-07-02,5049.0
2024-01-01,57237-0411-01,Cyclobenzaprine 10mg,5460,840,0,0,False,2025-12-31,9991.8
2024-01-01,57237-0421-01,Tramadol 50mg,4290,2010,0,0,False,2025-07-02,9051.9
2024-01-01,57237-0431-01,Oxycodone/APAP 5/325mg,3300,480,0,0,False,2025-12-31,2310.0
2024-01-01,57237-0441-01,Methylprednisolone 4mg,2940,588,0,0,False,2025-07-02,7526.4
2024-01-01,57237-0451-01,Clonazepam 0.5mg,3570,1470,0,0,False,2025-07-02,12066.6
2024-01-01,57237-0461-01,Alprazolam 0.5mg,2970,810,0,0,False,2025-07-02,12028.5
2024-01-01,57237-0471-01,Zolpidem 10mg,4260,780,0,0,False,2024-12-31,7156.8
2024-01-01,57237-0481-01,Hydroxyzine 25mg,10860,1740,0,0,False,2024-12-31,25303.8
2024-01-01,57237-0491-01,Linaclotide 145mcg,2910,870,0,0,False,2024-12-31,9952.2
2024-01-01,57237-0501-01,Insulin Glargine U-100,429,75,0,0,False,2024-12-31,326.04
2024-01-01,57237-0511-01,Insulin Aspart U-100,100,26,0,0,False,2025-07-02,358.0
2024-01-01,57237-0521-01,Methotrexate 2.5mg,244,92,0,0,False,2025-07-02,663.68
2024-01-01,57237-0531-01,Allopurinol 300mg,16710,2190,0,0,False,2025-07-02,29576.7
2024-01-01,57237-0541-01,Colchicine 0.6mg,8730,1350,0,0,False,2025-12-31,21126.6
2024-01-01,57237-0551-01,Finasteride 5mg,13680,1440,0,0,False,2024-12-31,53078.4
2024-01-01,57237-0561-01,Sildenafil 50mg,3480,300,0,0,False,2024-12-31,10753.2
2024-01-01,57237-0571-01,Topiramate 25mg,2400,1380,0,0,False,2025-12-31,7416.0
2024-01-01,57237-0581-01,Quetiapine 25mg,3780,1260,0,0,False,2025-12-31,12852.0
2024-01-01,57237-0591-01,Aripiprazole 10mg,3270,510,0,0,False,2025-07-02,5166.6
2024-01-01,57237-0601-01,Duloxetine 30mg,4080,2220,0,0,False,2025-07-02,8160.0
2024-01-01,57237-0611-01,Venlafaxine ER 75mg,16740,2160,0,0,False,2025-12-31,1506.6
2024-01-01,57237-0621-01,Memantine 10mg,3150,630,0,0,False,2025-07-02,12442.5
2024-01-01,57237-0631-01,Donepezil 10mg,4320,720,0,0,False,2024-12-31,18921.6
2024-01-01,57237-0641-01,Rosuvastatin 20mg,26790,3450,0,0,False,2024-12-31,62152.8
2024-01-01,57237-0651-01,Ezetimibe 10mg,16920,1980,0,0,False,2025-07-02,66495.6
2024-01-01,57237-0661-01,Clopidogrel 75mg,4380,3180,0,0,False,2025-12-31,16644.0
2024-01-01,57237-0671-01,Warfarin 5mg,17010,1890,0,0,False,2024-12-31,47117.7
2024-01-01,57237-0681-01,Rivaroxaban 20mg,13980,1140,0,0,False,2024-12-31,24185.4
2024-01-01,57237-0691-01,Apixaban 5mg,7980,2100,0,0,False,2025-12-31,19630.8
2024-01-01,57237-0701-01,Spironolactone 25mg,3870,1170,0,0,False,2025-12-31,16021.8
